LONGITUDE,LATITUDE,TAXONOMY,MACRO_TAXONOMY,BUILDINGS,DWELLINGS,OCCUPANCY,OCCUPANCY_TYPE,SETTLEMENT_TYPE,AREA_PER_DWELLING_SQM,COST_PER_AREA_EUR,TOTAL_REPL_COST_EUR,COST_STRUCTURAL_EUR,COST_NONSTRUCTURAL_EUR,COST_CONTENTS_EUR,OCCUPANTS_PER_ASSET,OCCUPANTS_PER_ASSET_DAY,OCCUPANTS_PER_ASSET_NIGHT,OCCUPANTS_PER_ASSET_TRANSIT,OCCUPANTS_PER_ASSET_AVERAGE,ID_2,NAME_2,ID_1,NAME_1
14.0375,50.6678,CR/LFINF+CDL/HBET:4-10,"Concrete frame with infill panels, mid rise, low/moderate code",136.853145,410.559435,Res,ALL,RURAL,68.0,840.0,23451154.9272,7035346.47816,11725577.4636,4690230.98544,964.4291760720912,200.11712517660675,906.4033302645375,457.32556428915314,521.2820065767659,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LFINF+CDL/HBET:4-10,"Concrete frame with infill panels, mid rise, low/moderate code",765.84336,2297.53008,Res,ALL,URBAN,68.0,984.375,153794825.531136,46138447.6593408,76897412.765568,30758965.106227204,5397.0384143169085,1119.87467689393,5072.320201081118,2559.237836800178,2917.1442382584087,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LWAL+CDL/HBET:4-10,"Concrete wall, mid rise, low/moderate code",178.851345,536.554035,Res,ALL,RURAL,68.0,840.0,30647966.4792,9194389.943759998,15323983.2396,6129593.29584,1260.398183013882,261.5301021790145,1184.5650659346686,597.6719955979017,681.255721237195,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LWAL+CDL/HBET:4-10,"Concrete wall, mid rise, low/moderate code",1000.86933,3002.60799,Res,ALL,URBAN,68.0,984.375,200992176.764208,60297653.02926239,100496088.382104,40198435.3528416,7053.309467515165,1463.547607890462,6628.940050092648,3344.6299763294187,3812.3725447708425,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",118.3199,118.3199,Res,ALL,RURAL,92.0,760.0,8272927.408,2481878.2224,4136463.704,1654585.4816,277.94066812745933,57.67213275511156,261.2180898889026,131.7975192413643,150.22924729512616,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CB/LWAL+CDN/HBET:1-2,"Unreinforced masonry, low rise",662.1298,662.1298,Res,ALL,URBAN,78.0,890.625,45996038.390640005,13798811.517192,22998019.195320003,9199207.678128002,1555.3833209722204,322.7389283350938,1461.8021280826058,737.5518831217801,840.6976465131598,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",236.6399,236.6399,Res,ALL,RURAL,92.0,760.0,16545861.808,4963758.5424,8272930.904,3309172.3616000004,555.8815711610233,115.34431425277002,522.4364005505493,263.59514987355914,300.45862155895946,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-3,"Unreinforced masonry, low rise",1324.2595,1324.2595,Res,ALL,URBAN,78.0,890.625,91992069.8346,27597620.95038,45996034.9173,18398413.96692,3110.766407038336,645.4778079276407,2923.604035392468,1475.1036548527295,1681.3951660576129,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",493.179,493.179,Res,ALL,RURAL,78.0,760.0,29235651.12,8770695.336,14617825.56,5847130.223999999,1158.5075779005244,240.38800539920305,1088.8048109685617,549.3561838873834,626.1830000850492,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2759.8772,2759.8772,Res,ALL,URBAN,68.0,890.625,167140371.13376,50142111.340128,83570185.56688,33428074.226752,6483.120023916024,1345.234438722527,6093.056624557093,3074.250133500811,3504.18039892681,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",378.6238,378.6238,Res,ALL,RURAL,78.0,760.0,22444818.864,6733445.6592,11222409.432,4488963.7728,889.4104198951954,184.55088330741327,835.8981525717811,421.7521952413624,480.7337437068522,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+CL/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",2118.8152,2118.8152,Res,ALL,URBAN,68.0,890.625,128317143.56416,38495143.069248,64158571.78208,25663428.712832004,4977.226251261337,1032.764492684225,4677.766456627947,2360.165847764367,2690.23226569218,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",331.2958,331.2958,Res,ALL,RURAL,78.0,760.0,19639215.024,5891764.5072,9819607.512,3927843.0048,778.2340586817699,161.4820107083499,731.4108283071225,369.0331429884845,420.641994001319,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,MUR+ST/LWAL+CDN/HBET:1-4,"Unreinforced masonry, low rise",1853.9633,1853.9633,Res,ALL,URBAN,68.0,890.625,112277500.61864,33683250.185592,56138750.30932,22455500.123728003,4355.072969853671,903.6689310986968,4093.045649549455,2065.1451167938217,2353.9532324806573,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,W/LPB+CDL/HBET:1-3,"Wood, low rise",10.7564,10.7564,Res,ALL,RURAL,92.0,760.0,752087.4879999999,225626.2464,376043.744,150417.49759999997,25.267440241634784,5.242943315258734,23.747199432056583,11.981643290501522,13.657262012605614,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,W/LPB+CDL/HBET:1-3,"Wood, low rise",60.1936,60.1936,Res,ALL,URBAN,78.0,890.625,4181456.77248,1254437.031744,2090728.38624,836291.3544960001,141.39844101454648,29.339893713636364,132.89106241246526,67.05015094001084,76.42703568870415,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",775.501155,2326.503465,Res,ALL,RURAL,68.0,840.0,132889877.92080002,39866963.37624,66444938.96040001,26577975.584160004,5465.098664408516,1133.997042667438,5136.285538165714,2591.511530971867,2953.931370601673,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LFINF+CDN/HBET:4-10,"Concrete frame with infill panels, mid rise, pre code",4339.77904,13019.33712,Res,ALL,URBAN,68.0,984.375,871504011.343104,261451203.4029312,435752005.671552,174300802.26862082,30583.21768112914,6345.956502398934,28743.14780612633,14502.34774186767,16530.484016797644,1,Usti nad Labem,1,Ustecky
14.0375,50.6678,CR/LWAL+CDN/HBET:4-10,"Concrete wall, mid rise, pre code",1013.490955,3040.472865,Res,ALL,RURAL,68.0,840.0,173671810.0488,52101543.01464,86835905.0244,34734362.00976,7142.256370411997,1482.0039123477484,6712.535373629789,3386.8079750547763,3860.449087010772,1,Usti nad Labem,1,Ustecky
